Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,NaiveSSN,0.002096,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AesSSN,0.001902,62
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,AesSSN,0.002196,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,AesSSN,0.001894,62
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,AesSSN,0.002157,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,GptSSN,0.001964,58
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,GptSSN,0.002256,1337
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,GptSSN,0.001949,58
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,GptSSN,0.002247,1337
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,GperfSSN,0.001868,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,GperfSSN,0.002170,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,GperfSSN,0.001862,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,GperfSSN,0.002150,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AbseilHash,0.001863,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,AbseilHash,0.002183,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,AbseilHash,0.001860,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,AbseilHash,0.002137,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,STDHashSrc,0.001920,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,STDHashSrc,0.002203,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,STDHashSrc,0.001914,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,STDHashSrc,0.002177,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,FNVHash,0.001940,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,FNVHash,0.002254,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,FNVHash,0.001937,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,FNVHash,0.002218,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,CityHash,0.001917,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,CityHash,0.002293,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,CityHash,0.001887,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,CityHash,0.002141,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,PextSSN,0.001852,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,PextSSN,0.002168,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,PextSSN,0.001843,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,PextSSN,0.002118,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,OffXorSSN,0.001844,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,OffXorSSN,0.002148,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,OffXorSSN,0.001835,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,OffXorSSN,0.002091,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,NaiveSSN,0.001843,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,NaiveSSN,0.002146,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,NaiveSSN,0.001830,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,NaiveSSN,0.002092,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AesSSN,0.001904,62
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,AesSSN,0.002195,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,AesSSN,0.001900,62
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,AesSSN,0.002154,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,GptSSN,0.002136,58
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,GptSSN,0.002250,1337
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,GptSSN,0.001955,58
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,GptSSN,0.002249,1337
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,GperfSSN,0.001867,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,GperfSSN,0.002170,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,GperfSSN,0.001861,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,GperfSSN,0.002150,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AbseilHash,0.001862,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,AbseilHash,0.002181,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,AbseilHash,0.001859,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,AbseilHash,0.002135,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,STDHashSrc,0.001919,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,STDHashSrc,0.002201,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,STDHashSrc,0.001914,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,STDHashSrc,0.002179,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,FNVHash,0.001939,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,FNVHash,0.002253,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,FNVHash,0.001936,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,FNVHash,0.002220,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,CityHash,0.001892,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,CityHash,0.002222,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,CityHash,0.001883,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,CityHash,0.002142,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,PextSSN,0.001850,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,PextSSN,0.002172,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,PextSSN,0.001842,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,PextSSN,0.002117,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,OffXorSSN,0.001844,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,OffXorSSN,0.002148,1339
