Hash Function,Chi-Test
Abseil,1.0128923047813585
Aes,2548.400711790587
City,1.0018159495448506
FNV,1.0060840627879468
Gperf,8817.39689815225
Gpt,3784.174290627381
Naive,3821.9214943054144
OffXor,3822.6958128998867
Pext,1303.7255264368428
STL,1.0
