Hash Function,Chi-Test
Abseil,0.9896561606630242
Aes,2506.7277325711448
City,0.9790086156116754
FNV,0.9853299945674308
Gperf,8638.278494339447
Gpt,6205.485289200408
Naive,2531.1949788199486
OffXor,2532.346391505027
Pext,2512.129793832141
STL,1.0
