Hash Function,Elapsed Time (seconds)
AbseilHash,0.002443
AbseilHash,0.002208
AbseilHash,0.002422
AbseilHash,0.002247
AbseilHash,0.002396
AbseilHash,0.002363
AbseilHash,0.002273
AbseilHash,0.002432
AbseilHash,0.002206
AbseilHash,0.002431
STDHashSrc,0.000143
STDHashSrc,0.000141
STDHashSrc,0.000145
STDHashSrc,0.000141
STDHashSrc,0.000141
STDHashSrc,0.000143
STDHashSrc,0.000145
STDHashSrc,0.000142
STDHashSrc,0.000145
STDHashSrc,0.000145
FNVHash,0.000917
FNVHash,0.000916
FNVHash,0.000828
FNVHash,0.000832
FNVHash,0.000851
FNVHash,0.000913
FNVHash,0.000873
FNVHash,0.000826
FNVHash,0.000829
FNVHash,0.000884
CityHash,0.000176
CityHash,0.000176
CityHash,0.000176
CityHash,0.000176
CityHash,0.000182
CityHash,0.000160
CityHash,0.000159
CityHash,0.000160
CityHash,0.000160
CityHash,0.000159
PextUrlComplex,0.000050
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
PextUrlComplex,0.000049
OffXorUrlComplex,0.000047
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
OffXorUrlComplex,0.000046
NaiveUrlComplex,0.000053
NaiveUrlComplex,0.000053
NaiveUrlComplex,0.000053
NaiveUrlComplex,0.000052
NaiveUrlComplex,0.000052
NaiveUrlComplex,0.000053
NaiveUrlComplex,0.000053
NaiveUrlComplex,0.000052
NaiveUrlComplex,0.000052
NaiveUrlComplex,0.000052
AesUrlComplex,0.000044
AesUrlComplex,0.000043
AesUrlComplex,0.000043
AesUrlComplex,0.000043
AesUrlComplex,0.000043
AesUrlComplex,0.000043
AesUrlComplex,0.000044
AesUrlComplex,0.000043
AesUrlComplex,0.000043
AesUrlComplex,0.000066
GptUrlComplex,0.000072
GptUrlComplex,0.000071
GptUrlComplex,0.000071
GptUrlComplex,0.000072
GptUrlComplex,0.000071
GptUrlComplex,0.000071
GptUrlComplex,0.000071
GptUrlComplex,0.000071
GptUrlComplex,0.000071
GptUrlComplex,0.000072
GperfUrlComplex,0.000050
GperfUrlComplex,0.000049
GperfUrlComplex,0.000050
GperfUrlComplex,0.000049
GperfUrlComplex,0.000049
GperfUrlComplex,0.000049
GperfUrlComplex,0.000049
GperfUrlComplex,0.000049
GperfUrlComplex,0.000061
GperfUrlComplex,0.000047
