Hash Function,Elapsed Time (seconds)
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
AbseilHash,0.000008
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
STDHashSrc,0.000017
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
FNVHash,0.000020
CityHash,0.000008
CityHash,0.000008
CityHash,0.000008
CityHash,0.000008
CityHash,0.000008
CityHash,0.000011
CityHash,0.000008
CityHash,0.000008
CityHash,0.000008
CityHash,0.000008
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
PextCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000004
OffXorCPF,0.000005
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
NaiveCPF,0.000004
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
AesCPF,0.000015
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GptCPF,0.000010
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000005
GperfCPF,0.000007
GperfCPF,0.000005
