Hash Function,Elapsed Time (seconds),size
AbseilHash,0.000001,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
AbseilHash,0.000000,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
STDHashSrc,0.000001,16
FNVHash,0.000002,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
FNVHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
CityHash,0.000001,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
Pext16INTS,0.000000,16
