Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,0.8505289682623456,True
Abseil,City,0.5964772749701479,True
Abseil,FNV,0.730549739285489,True
Abseil,Gperf,2.8522216143183032e-05,False
Abseil,Gpt,0.7654166554569439,True
Abseil,Naive,0.013491302429676997,False
Abseil,OffXor,0.004150583096878988,False
Abseil,Pext,0.5088635563026517,True
Abseil,STL,0.8584523179463587,True
Aes,Abseil,0.8505289682623456,True
Aes,City,0.7466390807143362,True
Aes,FNV,0.8522705950314705,True
Aes,Gperf,7.95700814920052e-06,False
Aes,Gpt,0.6496100334283668,True
Aes,Naive,0.009771707435120246,False
Aes,OffXor,0.0031599457785325166,False
Aes,Pext,0.44499630362743714,True
Aes,STL,0.7012610779141937,True
City,Abseil,0.5964772749701479,True
City,Aes,0.7466390807143362,True
City,FNV,0.9008968239232438,True
City,Gperf,1.994042902935191e-06,False
City,Gpt,0.42055650903146946,True
City,Naive,0.00368922042181987,False
City,OffXor,0.0010077521582895856,False
City,Pext,0.25073525566226884,True
City,STL,0.4700410662814326,True
FNV,Abseil,0.730549739285489,True
FNV,Aes,0.8522705950314705,True
FNV,City,0.9008968239232438,True
FNV,Gperf,5.511281070344883e-06,False
FNV,Gpt,0.5109229844366248,True
FNV,Naive,0.005798403965226287,False
FNV,OffXor,0.0019350188583152,False
FNV,Pext,0.30738368192747656,True
FNV,STL,0.5918055851037028,True
Gperf,Abseil,2.8522216143183032e-05,False
Gperf,Aes,7.95700814920052e-06,False
Gperf,City,1.994042902935191e-06,False
Gperf,FNV,5.511281070344883e-06,False
Gperf,Gpt,7.713067357408055e-05,False
Gperf,Naive,0.05907121436996563,True
Gperf,OffXor,0.12083180411553704,True
Gperf,Pext,0.0002047278713465173,False
Gperf,STL,5.822483941811107e-05,False
Gpt,Abseil,0.7654166554569439,True
Gpt,Aes,0.6496100334283668,True
Gpt,City,0.42055650903146946,True
Gpt,FNV,0.5109229844366248,True
Gpt,Gperf,7.713067357408055e-05,False
Gpt,Naive,0.027390755488940554,False
Gpt,OffXor,0.01012334589999688,False
Gpt,Pext,0.7714418776030614,True
Gpt,STL,0.9365243814162423,True
Naive,Abseil,0.013491302429676997,False
Naive,Aes,0.009771707435120246,False
Naive,City,0.00368922042181987,False
Naive,FNV,0.005798403965226287,False
Naive,Gperf,0.05907121436996563,True
Naive,Gpt,0.027390755488940554,False
Naive,OffXor,0.731515665506655,True
Naive,Pext,0.05210583893225274,True
Naive,STL,0.02295026012711246,False
OffXor,Abseil,0.004150583096878988,False
OffXor,Aes,0.0031599457785325166,False
OffXor,City,0.0010077521582895856,False
OffXor,FNV,0.0019350188583152,False
OffXor,Gperf,0.12083180411553704,True
OffXor,Gpt,0.01012334589999688,False
OffXor,Naive,0.731515665506655,True
OffXor,Pext,0.024337341975621814,False
OffXor,STL,0.008129314779060355,False
Pext,Abseil,0.5088635563026517,True
Pext,Aes,0.44499630362743714,True
Pext,City,0.25073525566226884,True
Pext,FNV,0.30738368192747656,True
Pext,Gperf,0.0002047278713465173,False
Pext,Gpt,0.7714418776030614,True
Pext,Naive,0.05210583893225274,True
Pext,OffXor,0.024337341975621814,False
Pext,STL,0.6830919595660234,True
STL,Abseil,0.8584523179463587,True
STL,Aes,0.7012610779141937,True
STL,City,0.4700410662814326,True
STL,FNV,0.5918055851037028,True
STL,Gperf,5.822483941811107e-05,False
STL,Gpt,0.9365243814162423,True
STL,Naive,0.02295026012711246,False
STL,OffXor,0.008129314779060355,False
STL,Pext,0.6830919595660234,True
