Hash Function,Elapsed Time (seconds),size
AbseilHash,0.003493,16384
AbseilHash,0.003385,16384
AbseilHash,0.003440,16384
AbseilHash,0.003338,16384
AbseilHash,0.003323,16384
AbseilHash,0.003479,16384
AbseilHash,0.003382,16384
AbseilHash,0.003387,16384
AbseilHash,0.003380,16384
AbseilHash,0.003326,16384
STDHashSrc,0.000285,16384
STDHashSrc,0.000288,16384
STDHashSrc,0.000258,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
STDHashSrc,0.000257,16384
FNVHash,0.002195,16384
FNVHash,0.002053,16384
FNVHash,0.002194,16384
FNVHash,0.002053,16384
FNVHash,0.002222,16384
FNVHash,0.002079,16384
FNVHash,0.002129,16384
FNVHash,0.002161,16384
FNVHash,0.002210,16384
FNVHash,0.002146,16384
CityHash,0.000136,16384
CityHash,0.000136,16384
CityHash,0.000152,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
CityHash,0.000124,16384
Pext16384INTS,0.000184,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000169,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
Pext16384INTS,0.000168,16384
