Hash Function,Elapsed Time (seconds),size
AbseilHash,0.000018,64
AbseilHash,0.000017,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
AbseilHash,0.000016,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
STDHashSrc,0.000001,64
FNVHash,0.000006,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
FNVHash,0.000005,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
CityHash,0.000001,64
Pext64INTS,0.000001,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
Pext64INTS,0.000000,64
