Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,2.1228369059420943e-63,False
Abseil,City,3.43685903337019e-49,False
Abseil,FNV,3.20405499511188e-20,False
Abseil,Gperf,2.3176892398476462e-191,False
Abseil,Gpt,6.866175861885779e-17,False
Abseil,Naive,3.1721782122716207e-58,False
Abseil,OffXor,9.98989642946799e-59,False
Abseil,Pext,2.6558706963417463e-53,False
Abseil,STL,1.5949514326260873e-45,False
Aes,Abseil,2.1228369059420943e-63,False
Aes,City,5.86523043853708e-07,False
Aes,FNV,3.150580705396273e-49,False
Aes,Gperf,2.563152313775083e-192,False
Aes,Gpt,8.689724211419687e-24,False
Aes,Naive,0.1747033422855515,True
Aes,OffXor,0.23839195783587286,True
Aes,Pext,0.20331364925669304,True
Aes,STL,6.802090431734592e-11,False
City,Abseil,3.43685903337019e-49,False
City,Aes,5.86523043853708e-07,False
City,FNV,2.815493334468185e-28,False
City,Gperf,2.563384851689931e-192,False
City,Gpt,6.489337736021543e-08,False
City,Naive,0.0002633693367130298,False
City,OffXor,0.00016312964786265128,False
City,Pext,0.00035904001380235805,False
City,STL,0.18085692146901622,True
FNV,Abseil,3.20405499511188e-20,False
FNV,Aes,3.150580705396273e-49,False
FNV,City,2.815493334468185e-28,False
FNV,Gperf,2.5636343248004436e-192,False
FNV,Gpt,2.0276368607613977e-06,False
FNV,Naive,1.5699458821936847e-42,False
FNV,OffXor,1.0439782653023731e-42,False
FNV,Pext,4.943817812860208e-39,False
FNV,STL,8.418870058700147e-24,False
Gperf,Abseil,2.3176892398476462e-191,False
Gperf,Aes,2.563152313775083e-192,False
Gperf,City,2.563384851689931e-192,False
Gperf,FNV,2.5636343248004436e-192,False
Gperf,Gpt,2.1388580468681466e-144,False
Gperf,Naive,2.9751492531861602e-192,False
Gperf,OffXor,2.9147189648832644e-192,False
Gperf,Pext,2.9241845787356323e-183,False
Gperf,STL,2.563359482897027e-192,False
Gpt,Abseil,6.866175861885779e-17,False
Gpt,Aes,8.689724211419687e-24,False
Gpt,City,6.489337736021543e-08,False
Gpt,FNV,2.0276368607613977e-06,False
Gpt,Gperf,2.1388580468681466e-144,False
Gpt,Naive,7.693890122574428e-19,False
Gpt,OffXor,6.765750069311312e-19,False
Gpt,Pext,1.8072238878609563e-17,False
Gpt,STL,3.547329225066547e-05,False
Naive,Abseil,3.1721782122716207e-58,False
Naive,Aes,0.1747033422855515,True
Naive,City,0.0002633693367130298,False
Naive,FNV,1.5699458821936847e-42,False
Naive,Gperf,2.9751492531861602e-192,False
Naive,Gpt,7.693890122574428e-19,False
Naive,OffXor,0.8692348759473459,True
Naive,Pext,0.9669839255893059,True
Naive,STL,2.3568791204870713e-07,False
OffXor,Abseil,9.98989642946799e-59,False
OffXor,Aes,0.23839195783587286,True
OffXor,City,0.00016312964786265128,False
OffXor,FNV,1.0439782653023731e-42,False
OffXor,Gperf,2.9147189648832644e-192,False
OffXor,Gpt,6.765750069311312e-19,False
OffXor,Naive,0.8692348759473459,True
OffXor,Pext,0.8669608121742096,True
OffXor,STL,1.437125889064381e-07,False
Pext,Abseil,2.6558706963417463e-53,False
Pext,Aes,0.20331364925669304,True
Pext,City,0.00035904001380235805,False
Pext,FNV,4.943817812860208e-39,False
Pext,Gperf,2.9241845787356323e-183,False
Pext,Gpt,1.8072238878609563e-17,False
Pext,Naive,0.9669839255893059,True
Pext,OffXor,0.8669608121742096,True
Pext,STL,7.006638692679256e-07,False
STL,Abseil,1.5949514326260873e-45,False
STL,Aes,6.802090431734592e-11,False
STL,City,0.18085692146901622,True
STL,FNV,8.418870058700147e-24,False
STL,Gperf,2.563359482897027e-192,False
STL,Gpt,3.547329225066547e-05,False
STL,Naive,2.3568791204870713e-07,False
STL,OffXor,1.437125889064381e-07,False
STL,Pext,7.006638692679256e-07,False
