Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AesCPF,0.002370,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AesCPF,0.002089,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AesCPF,0.002334,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GptCPF,0.002079,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GptCPF,0.002362,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GptCPF,0.002075,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GptCPF,0.002346,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GperfCPF,0.002045,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GperfCPF,0.002324,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GperfCPF,0.002039,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GperfCPF,0.002294,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AbseilHash,0.002073,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AbseilHash,0.002359,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AbseilHash,0.002078,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AbseilHash,0.002323,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,STDHashSrc,0.002170,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002387,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,STDHashSrc,0.002177,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002386,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,FNVHash,0.002161,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,FNVHash,0.002432,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,FNVHash,0.002155,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,FNVHash,0.002394,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,CityHash,0.002111,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,CityHash,0.002425,192
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,CityHash,0.002112,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,CityHash,0.002342,192
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,PextCPF,0.002063,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,PextCPF,0.002427,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,PextCPF,0.002048,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,PextCPF,0.002395,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,OffXorCPF,0.002040,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,OffXorCPF,0.002311,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,OffXorCPF,0.002115,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,OffXorCPF,0.002334,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,NaiveCPF,0.002047,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,NaiveCPF,0.002319,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,NaiveCPF,0.002041,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,NaiveCPF,0.002285,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AesCPF,0.002092,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AesCPF,0.002392,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AesCPF,0.002145,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AesCPF,0.002340,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GptCPF,0.002078,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GptCPF,0.002367,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GptCPF,0.002069,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GptCPF,0.002347,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GperfCPF,0.002038,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GperfCPF,0.002325,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GperfCPF,0.002044,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GperfCPF,0.002291,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AbseilHash,0.002072,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AbseilHash,0.002356,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AbseilHash,0.002073,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AbseilHash,0.002320,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,STDHashSrc,0.002269,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002384,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,STDHashSrc,0.002173,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002469,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,FNVHash,0.002175,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,FNVHash,0.002434,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,FNVHash,0.002152,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,FNVHash,0.002397,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,CityHash,0.002111,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,CityHash,0.002426,192
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,CityHash,0.002116,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,CityHash,0.002341,192
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,PextCPF,0.002064,14
