Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AbseilHash,0.004490,55
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.005152,610
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AbseilHash,0.004530,55
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AbseilHash,0.005105,610
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,STDHashSrc,0.002471,51
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002903,608
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,STDHashSrc,0.002340,51
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002838,608
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,FNVHash,0.003387,42
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,FNVHash,0.003690,610
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,FNVHash,0.003307,42
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,FNVHash,0.003685,610
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,CityHash,0.002272,35
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,CityHash,0.002939,611
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,CityHash,0.002408,35
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,CityHash,0.002741,611
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,PextUrlComplex,0.002242,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,PextUrlComplex,0.002710,611
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,PextUrlComplex,0.002198,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,PextUrlComplex,0.002655,611
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,OffXorUrlComplex,0.002101,42
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,OffXorUrlComplex,0.002612,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,OffXorUrlComplex,0.002151,42
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,OffXorUrlComplex,0.002661,614
