Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,AbseilHash,0.004512,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.005413,323
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,AbseilHash,0.004545,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,AbseilHash,0.005001,323
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,STDHashSrc,0.002486,19
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002766,325
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,STDHashSrc,0.002452,19
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002974,325
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,FNVHash,0.003176,19
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,FNVHash,0.003651,324
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,FNVHash,0.003199,19
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,FNVHash,0.003619,324
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,CityHash,0.002520,15
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,CityHash,0.002808,324
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,CityHash,0.002334,15
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,CityHash,0.002980,324
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,PextUrlComplex,0.002167,25
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,PextUrlComplex,0.002718,323
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,PextUrlComplex,0.002353,25
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,PextUrlComplex,0.002611,323
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,OffXorUrlComplex,0.002232,23
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,OffXorUrlComplex,0.002669,325
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,OffXorUrlComplex,0.002130,23
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,OffXorUrlComplex,0.002721,325
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,NaiveUrlComplex,0.002108,25
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,NaiveUrlComplex,0.002575,323
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,NaiveUrlComplex,0.002118,25
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,NaiveUrlComplex,0.002574,323
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,AesUrlComplex,0.002116,21
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,AesUrlComplex,0.002584,324
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,AesUrlComplex,0.002116,21
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,AesUrlComplex,0.002571,324
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,GptUrlComplex,0.002169,27
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,GptUrlComplex,0.002613,324
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,GptUrlComplex,0.002162,27
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,GptUrlComplex,0.002609,324
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,GperfUrlComplex,0.002116,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,GperfUrlComplex,0.002568,325
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,GperfUrlComplex,0.002113,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,GperfUrlComplex,0.002564,325
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,AbseilHash,0.004279,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.004686,323
Interweaved,normal,10000,2000,60,20,20,UnorderedSetBench,AbseilHash,0.004269,26
Interweaved,normal,10000,2000,60,20,20,UnorderedMultisetBench,AbseilHash,0.004652,323
Interweaved,normal,10000,2000,60,20,20,UnorderedMapBench,STDHashSrc,0.002205,19
Interweaved,normal,10000,2000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002621,325
